title,status,area,name,re_date,pre_date,corporation
매입임대,모집중,부산광역시,부산 금정구 집주인 임대주택 입주자 선착순 수시모집 공고(금정구 기찰로),2022-06-03,2022-08-31,LH
행복주택,모집중,부산광역시,부산도시공사 아미4 행복주택 입주자모집 공고,2022-05-31,2022-11-18,부산도시공사
매입임대,모집중,부산광역시외 1개 지역,[정정공고][부산울산] 2022년 기존주택 등 매입임대주택 예비입주자 모집,2022-05-04,2022-06-17,LH
매입임대,모집중,부산광역시외 1개 지역,[정정공고][부산울산] 2022년 기존주택 등 매입임대주택 예비입주자 모집,2022-05-04,2022-06-17,LH
매입임대,모집중,부산광역시외 1개 지역,[정정공고][부산울산] 2022년 기존주택 등 매입임대주택 예비입주자 모집,2022-05-04,2022-06-17,LH
매입임대,모집중,부산광역시외 1개 지역,[정정공고][부산울산] 2022년 기존주택 등 매입임대주택 예비입주자 모집,2022-05-04,2022-06-17,LH
매입임대,모집중,부산광역시외 1개 지역,[부산울산] 2022년 기존주택 등 매입임대주택 예비입주자 모집,2022-05-04,2022-06-17,LH
전세임대,모집중,서울특별시외 15개 지역,2022년 신혼부부 전세임대Ⅱ 입주자 수시모집(자격완화) 공고,2022-04-25,2022-12-30,LH
전세임대,모집중,서울특별시외 15개 지역,2022년 신혼부부 전세임대Ⅰ입주자 수시모집(자격완화) 공고,2022-04-25,2022-12-30,LH
전세임대,모집중,서울특별시외 16개 지역,[정정공고]2022년 청년 전세임대 1순위 입주자 수시모집,2022-01-14,2022-12-30,LH
